tag,records,avg_loss,max_loss,generated_records,recycled_records
assistant_qa,59,0.5883238445138717,4.974152088165283,29,30
contextual_qa,33,0.04462501668427704,0.747154176235199,33,0
structured_text_task,16,0.19240311392059084,0.818854808807373,14,2
time_reasoning,16,0.3594068909151247,2.4555795192718506,10,6
science_qa,12,0.7779870247468352,4.3842034339904785,7,5
classification,11,0.28413707144897093,0.7597340941429138,9,2
factual_qa,11,0.13291068358177488,0.47934672236442566,9,2
math_qa,11,0.29520596690814604,2.0325112342834473,10,1
reasoning,11,0.5158306353471496,1.8713818788528442,6,5
extractive_qa,10,0.3617729773744941,2.939002752304077,8,2
paraphrase,10,0.4686106317676604,1.8920342922210693,8,2
